series1,series2,sbd,cogroup1,cogroup2,same_cogroup,pair_type,relationship,overlap
m3.C8,m1.C3,0.38245712561354905,5,2,FALSE,clone-clone,between co-clusters,0.05
m3.C9,m1.C3,0.6089657245658034,5,2,FALSE,clone-clone,between co-clusters,0.15789473684210523
m3.C10,m1.C3,0.6174594489723901,7,2,FALSE,clone-clone,between co-clusters,0.2307692307692308
m3.C11,m1.C3,0.7208265581279947,7,2,FALSE,clone-clone,between co-clusters,0.03703703703703703
m3.C12,m1.C3,0.6821825051963617,8,2,FALSE,clone-clone,between co-clusters,0
m3.C13,m1.C3,0.3906629263553104,3,2,FALSE,clone-clone,between co-clusters,0
m3.Enterobacteriaceae,m1.C3,0.5357564071982283,5,2,FALSE,clone-species,between co-clusters,0
m3.Paenibacillaceae,m1.C3,0.405174643243869,1,2,FALSE,clone-species,between co-clusters,0
m3.Ruminococcaceae,m1.C3,0.5592890513409149,1,2,FALSE,clone-species,between co-clusters,0
m4.C1,m1.C3,0.2781619044469261,1,2,FALSE,clone-clone,between co-clusters,0
m4.C2,m1.C3,0.5542786422620045,1,2,FALSE,clone-clone,between co-clusters,0
m4.C3,m1.C3,0.47345922920752226,1,2,FALSE,clone-clone,between co-clusters,0.1
m4.C4,m1.C3,0.06692558070535959,2,2,TRUE,clone-clone,within co-cluster,0.125
m4.C5,m1.C3,0.3551119914979507,2,2,TRUE,clone-clone,within co-cluster,0
m4.C6,m1.C3,0.164521998724399,2,2,TRUE,clone-clone,within co-cluster,0.17
m4.C7,m1.C3,0.556626182476613,3,2,FALSE,clone-clone,between co-clusters,0.07894736842105263
m4.C8,m1.C3,0.21897445041598174,2,2,TRUE,clone-clone,within co-cluster,0.125
m4.C9,m1.C3,0.5868421995787456,4,2,FALSE,clone-clone,between co-clusters,0.08695652173913043
m4.C10,m1.C3,0.40023254861330115,7,2,FALSE,clone-clone,between co-clusters,0
m4.C11,m1.C3,0.6250370885758865,3,2,FALSE,clone-clone,between co-clusters,0.18181818181818185
m4.C12,m1.C3,0.7373402748300526,4,2,FALSE,clone-clone,between co-clusters,0.1153846153846154
m4.C13,m1.C3,0.6376464047202275,3,2,FALSE,clone-clone,between co-clusters,0.08163265306122448
